Target_PMUT,N_train,Approach,Model,Full_MAE,Full_R2,ROI_MAE,ROI_R2
3,2,Vector,RF,0.223393,-1737.8972,0.234011,-2402.6232
3,2,Vector,GB,0.096263,-322.1635,0.104432,-478.1554
3,2,Vector,MLP,0.036252,-46.2763,0.048659,-104.8065
3,2,Vector,Physics,0.223126,-1734.0658,0.241088,-2550.508
3,2,Pointwise,RF,0.096258,-322.1243,0.104443,-478.2693
3,2,Pointwise,GB,0.096278,-322.2723,0.105011,-483.5211
3,2,Pointwise,MLP,0.05007,-87.1179,0.034098,-51.011
3,2,Pointwise,Physics,0.223126,-1734.0658,0.241088,-2550.508
4,3,Vector,RF,0.053012,-97.6992,0.056176,-137.0867
4,3,Vector,GB,0.006034,-0.2914,0.006258,-0.7134
4,3,Vector,MLP,0.006146,-0.8809,0.008343,-3.1654
4,3,Vector,Physics,0.05298,-98.5003,0.0713,-222.3285
4,3,Pointwise,RF,0.006029,-0.289,0.006257,-0.7139
4,3,Pointwise,GB,0.006077,-0.3298,0.007761,-1.8465
4,3,Pointwise,MLP,0.033585,-39.5677,0.019667,-16.9124
4,3,Pointwise,Physics,0.05298,-98.5003,0.0713,-222.3285
5,4,Vector,RF,0.012914,-4.8862,0.013756,-7.1984
5,4,Vector,GB,0.003017,0.6735,0.003113,0.5755
5,4,Vector,MLP,0.020608,-14.6304,0.020519,-18.1239
5,4,Vector,Physics,0.012915,-5.8651,0.031327,-42.4388
5,4,Pointwise,RF,0.003014,0.674,0.003115,0.5713
5,4,Pointwise,GB,0.003073,0.6524,0.003157,0.5177
5,4,Pointwise,MLP,0.002917,0.3629,0.012463,-6.6775
5,4,Pointwise,Physics,0.012915,-5.8651,0.031327,-42.4388
6,5,Vector,RF,0.004231,0.3669,0.004419,0.1722
6,5,Vector,GB,0.001857,0.8773,0.001914,0.8447
6,5,Vector,MLP,0.007533,-1.3543,0.004127,0.0333
6,5,Vector,Physics,0.004253,-0.6267,0.022701,-21.815
6,5,Pointwise,RF,0.001865,0.8761,0.002053,0.8212
6,5,Pointwise,GB,0.001932,0.8544,0.002763,0.5786
6,5,Pointwise,MLP,0.005244,-0.2379,0.005591,-0.9853
6,5,Pointwise,Physics,0.004253,-0.6267,0.022701,-21.815
7,6,Vector,RF,0.001942,0.8671,0.00205,0.8234
7,6,Vector,GB,0.001138,0.9544,0.001221,0.9372
7,6,Vector,MLP,0.002891,0.5584,0.005052,-0.4688
7,6,Vector,Physics,0.002782,-0.1309,0.020495,-17.6265
7,6,Pointwise,RF,0.00115,0.9533,0.001386,0.9191
7,6,Pointwise,GB,0.001229,0.9375,0.001813,0.7933
7,6,Pointwise,MLP,0.003179,0.3739,0.008996,-3.3261
7,6,Pointwise,Physics,0.002782,-0.1309,0.020495,-17.6265
8,7,Vector,RF,0.001434,0.929,0.001552,0.8992
8,7,Vector,GB,0.00093,0.9701,0.001017,0.9565
8,7,Vector,MLP,0.002833,0.5398,0.007245,-1.4977
