Target_PMUT,N_train,Regime,Regime_Name,Step_Type,Approach,Model,Full_MAE,Full_R2,ROI_MAE,ROI_R2
2,1,1,Regime 1 (1–2),within,Vector,RF,0.462314,-11527.742,0.463342,-19422.6119
2,1,1,Regime 1 (1–2),within,Vector,GB,0.462314,-11527.742,0.463342,-19422.6119
2,1,1,Regime 1 (1–2),within,Vector,MLP,0.490164,-12976.3215,0.491702,-21901.9216
2,1,1,Regime 1 (1–2),within,Vector,Physics,0.462309,-11527.1313,0.464749,-19539.2854
2,1,1,Regime 1 (1–2),within,Pointwise,RF,0.462313,-11527.6749,0.463352,-19423.3859
2,1,1,Regime 1 (1–2),within,Pointwise,GB,0.462314,-11527.7264,0.463346,-19422.9673
2,1,1,Regime 1 (1–2),within,Pointwise,MLP,0.462479,-11535.4107,0.464161,-19490.1049
2,1,1,Regime 1 (1–2),within,Pointwise,Physics,0.462309,-11527.1313,0.464749,-19539.2854
3,2,1,Regime 1 (1–2),cross,Vector,RF,0.223393,-1737.8972,0.234011,-2402.6232
3,2,1,Regime 1 (1–2),cross,Vector,GB,0.096263,-322.1635,0.104432,-478.1554
3,2,1,Regime 1 (1–2),cross,Vector,MLP,0.036252,-46.2763,0.048659,-104.8065
3,2,1,Regime 1 (1–2),cross,Vector,Physics,0.223126,-1734.0658,0.241088,-2550.508
3,2,1,Regime 1 (1–2),cross,Pointwise,RF,0.096258,-322.1243,0.104443,-478.2693
3,2,1,Regime 1 (1–2),cross,Pointwise,GB,0.096278,-322.2723,0.105011,-483.5211
3,2,1,Regime 1 (1–2),cross,Pointwise,MLP,0.05007,-87.1179,0.034098,-51.011
3,2,1,Regime 1 (1–2),cross,Pointwise,Physics,0.223126,-1734.0658,0.241088,-2550.508
4,1,2,Regime 2 (3–11),within,Vector,RF,0.006029,-0.2889,0.006252,-0.7101
4,1,2,Regime 2 (3–11),within,Vector,GB,0.006029,-0.2889,0.006252,-0.7101
4,1,2,Regime 2 (3–11),within,Vector,MLP,0.006337,-0.6762,0.005632,-0.9083
4,1,2,Regime 2 (3–11),within,Vector,Physics,0.006029,-1.2756,0.024349,-25.9282
4,1,2,Regime 2 (3–11),within,Pointwise,RF,0.006029,-0.289,0.006258,-0.7144
4,1,2,Regime 2 (3–11),within,Pointwise,GB,0.006029,-0.2891,0.006293,-0.7341
4,1,2,Regime 2 (3–11),within,Pointwise,MLP,0.006008,-0.2843,0.006302,-0.7721
4,1,2,Regime 2 (3–11),within,Pointwise,Physics,0.006029,-1.2756,0.024349,-25.9282
5,2,2,Regime 2 (3–11),within,Vector,RF,0.004671,0.2207,0.004829,-0.0141
5,2,2,Regime 2 (3–11),within,Vector,GB,0.003013,0.6744,0.003108,0.5767
5,2,2,Regime 2 (3–11),within,Vector,MLP,0.018636,-14.4214,0.034647,-53.9951
5,2,2,Regime 2 (3–11),within,Vector,Physics,0.004671,-0.7672,0.023083,-23.0417
5,2,2,Regime 2 (3–11),within,Pointwise,RF,0.003013,0.6741,0.003111,0.5725
5,2,2,Regime 2 (3–11),within,Pointwise,GB,0.003022,0.6715,0.003162,0.5567
5,2,2,Regime 2 (3–11),within,Pointwise,MLP,0.092988,-308.4052,0.075871,-249.0081
5,2,2,Regime 2 (3–11),within,Pointwise,Physics,0.004671,-0.7672,0.023083,-23.0417
6,3,2,Regime 2 (3–11),within,Vector,RF,0.003027,0.6738,0.003123,0.5863
6,3,2,Regime 2 (3–11),within,Vector,GB,0.001852,0.8779,0.00191,0.8455
6,3,2,Regime 2 (3–11),within,Vector,MLP,0.011702,-5.6686,0.023387,-23.8919
6,3,2,Regime 2 (3–11),within,Vector,Physics,0.003227,-0.3208,0.021497,-19.5624
6,3,2,Regime 2 (3–11),within,Pointwise,RF,0.001864,0.8763,0.002033,0.8248
6,3,2,Regime 2 (3–11),within,Pointwise,GB,0.001862,0.8739,0.001713,0.8566
6,3,2,Regime 2 (3–11),within,Pointwise,MLP,0.023481,-19.2869,0.022353,-20.66
6,3,2,Regime 2 (3–11),within,Pointwise,Physics,0.003227,-0.3208,0.021497,-19.5624
7,4,2,Regime 2 (3–11),within,Vector,RF,0.002051,0.8518,0.002162,0.8037
7,4,2,Regime 2 (3–11),within,Vector,GB,0.001134,0.9547,0.001216,0.9377
7,4,2,Regime 2 (3–11),within,Vector,MLP,0.010459,-4.3526,0.021061,-19.1449
7,4,2,Regime 2 (3–11),within,Vector,Physics,0.002783,-0.146,0.020604,-17.8145
7,4,2,Regime 2 (3–11),within,Pointwise,RF,0.00115,0.9533,0.001385,0.9191
7,4,2,Regime 2 (3–11),within,Pointwise,GB,0.001164,0.9488,0.001058,0.9255
7,4,2,Regime 2 (3–11),within,Pointwise,MLP,0.008808,-2.2179,0.009648,-3.0891
7,4,2,Regime 2 (3–11),within,Pointwise,Physics,0.002783,-0.146,0.020604,-17.8145
8,5,2,Regime 2 (3–11),within,Vector,RF,0.001456,0.9268,0.001573,0.8966
8,5,2,Regime 2 (3–11),within,Vector,GB,0.000926,0.9704,0.001012,0.9569
8,5,2,Regime 2 (3–11),within,Vector,MLP,0.009677,-3.6284,0.019653,-16.3973
8,5,2,Regime 2 (3–11),within,Vector,Physics,0.002858,-0.0727,0.020095,-16.7484
8,5,2,Regime 2 (3–11),within,Pointwise,RF,0.000944,0.9691,0.001192,0.9407
8,5,2,Regime 2 (3–11),within,Pointwise,GB,0.000976,0.9635,0.000866,0.946
8,5,2,Regime 2 (3–11),within,Pointwise,MLP,0.004609,-0.3164,0.006758,-1.0886
8,5,2,Regime 2 (3–11),within,Pointwise,Physics,0.002858,-0.0727,0.020095,-16.7484
9,6,2,Regime 2 (3–11),within,Vector,RF,0.001129,0.951,0.001454,0.8908
9,6,2,Regime 2 (3–11),within,Vector,GB,0.000801,0.9741,0.001429,0.902
9,6,2,Regime 2 (3–11),within,Vector,MLP,0.008841,-3.1477,0.017829,-14.3097
9,6,2,Regime 2 (3–11),within,Vector,Physics,0.002881,-0.0411,0.019085,-15.7261
9,6,2,Regime 2 (3–11),within,Pointwise,RF,0.000808,0.9733,0.001479,0.8932
9,6,2,Regime 2 (3–11),within,Pointwise,GB,0.000818,0.9718,0.001475,0.8955
9,6,2,Regime 2 (3–11),within,Pointwise,MLP,0.005543,-0.979,0.006202,-1.5358
9,6,2,Regime 2 (3–11),within,Pointwise,Physics,0.002881,-0.0411,0.019085,-15.7261
10,7,2,Regime 2 (3–11),within,Vector,RF,0.000724,0.9809,0.000716,0.9755
10,7,2,Regime 2 (3–11),within,Vector,GB,0.000424,0.9933,0.00056,0.9841
10,7,2,Regime 2 (3–11),within,Vector,MLP,0.00872,-2.9191,0.017372,-13.0451
